sen_ID,sentence,attribute,sub_attr,attr_class,# attributes,sent_class_og,sent_class
1,FEW TELEVISIONS = AWESOME!,ambiance,atmosphere,0,1,4,2
2,"Sauce wasn't that good, meat was dry and they give you some crappy wonderbread for the sandwich.",food,taste,1,2,0,0
3,They accept credit cards.,price,payment,4,1,3,2
4,"I was intrigued by the menu, so I decided to dine here for a pre-flight lunch.",food,taste,1,1,3,2
5,Flavor is there and dark meat is tender.,food,taste,1,1,3,2
6,Went with a friend for lunch before a holiday performance.,general,general,5,1,2,1
7,"The sauce is way too sweet (like, Papa Johns sweet) and there isn't enough cheese.",food,taste,1,1,1,0
8,We've tried many of their different kinds of meat and we keep coming back for more!,food,taste,1,1,3,2
9,"Next time, I won't be so cheap and search for a better place.",price,value,4,1,1,0
10,If you're going to get a cookie you might as well make it a combo as it's only a little more to get a cookie AND a drink.,price,value,4,1,3,2
11,"This park has a little something for everyone - from ball fields to kayaking to a place for lunch, people of all ages and abilities will be pleased.",ambiance,atmosphere,0,1,3,2
12,She is energetic and friendly without being annoying.,service,employee,3,1,3,2
13,"Fresh, flavorful, not-too-sweet... just the right touch of flavor to leave a vibrant aftertaste.",food,taste,1,1,4,2
14,The staff hackles the customers but I think that adds to the charm?,service,employee,3,1,1,0
15,"Seriously, getting a table on the patio can be cut-throat, as seating is first come first serve (or a competition of attention and aggression) and is not managed by staff.",service,employee,3,1,1,0
16,"In addition to traditional Italian entrees they also had burgers, crab cakes and opened at 7 am for breakfast.",food,taste,1,2,3,2
17,I decided to move out on my own.,general,general,5,1,2,1
18,I'd take a bite and pull half the contents of the sandwich out with the onions.,food,taste,1,1,2,1
19,"I know they have other food items too, and we want to try them as well, but the pizza is just so good that we always end up ordering that.",food,taste,1,1,3,2
20,"I ordered an iced mocha, and I believe she ordered an espresso.",food,taste,1,1,2,1
21,I'd say overall I liked this place and would certainly come again to try the other items on their menu.,general,general,5,1,3,2
22,"A little loud, but deal-able.",ambiance,atmosphere,0,1,1,0
23,We decided to stop by on a Saturday.,general,general,5,1,2,1
24,"I was curious as to how it would compare to the other nearby slice shop, Cafe Milano, which left me underwhelmed.",general,general,5,1,0,0
25,"Well I really like guacamole so it was ok, just thought there would be more to it.",food,taste,1,1,2,1
26,Any 3D movies are a $3 surcharge.,price,value,4,1,1,0
27,I went to Sienna Mercato on my birthday last week.,general,general,5,1,2,1
28,Their selection is clearly enormous and I loved that I could pick a relatively new/obscure album and the staff helped me find it.,service,employee,3,1,4,2
29,The park is home to Pittsburgh's famous fountain (that just got turned back on) that erupts up at the point where the three rivers meet.,ambiance,atmosphere,0,1,3,2
30,I got the wheelhouse burger with BBQ  pork and pickles and it was very good.,food,taste,1,1,4,2
31,Many less traveled folks would probably say five stars but I'm going for 4.,general,general,5,1,3,2
32,"I wasn't quite as stoked about that as there is a Giant Eagle Market District, a Whole Foods, AND a Trader Joe's all within a stone's throw.",location,convenience,2,1,3,2
33,The wait staff are a bit uneven in their attentiveness but it only reached the level of amusing rather than annoying.,service,employee,3,1,1,0
34,It was so good that a few days later I took my wife and daughter to get a sub as well.,food,taste,1,1,3,2
35,I highly recommend this place if you live nearby or are in the area.,location,convenience,2,1,4,2
36,The new rooms are very nicely done.,ambiance,atmosphere,0,1,4,2
37,This is the sort of bar where neighbors bring over christmas lights to decorate for the holidays.,ambiance,atmosphere,0,1,3,2
38,"This food was horrific.""",food,taste,1,1,0,0
39,The quesadillas and the burritos are HUGE and very well stuffed.,food,quantity,1,1,4,2
40,"People sit around and chat down here, something that you can't do upstairs very well.",ambiance,atmosphere,0,1,2,1
41,The Film & Video area was particularly arresting to me.,ambiance,atmosphere,0,1,3,2
42,I was immediately impressed with the quantity and quality of the selection on-hand.,food,taste,1,1,3,2
43,But I'll try the other ones the next time.,food,taste,1,1,3,2
44,The pasta is ok.,food,taste,1,1,2,1
45,Bring $10 in cash because you won't want to walk out of here without buying one for yourself.,price,value,4,1,3,2
46,"Monday is wing night with $.40 wings which are great, I usually just go with the hot buffalo.",price,value,4,1,4,2
47,"If you're looking to grab a few drinks or get an education in tequila, and get some excellent modern mexican-inspired snacks(And maybe dinner, but I haven't tried in a while), Verde is probably the best place to stop.",food,taste,1,1,4,2
48,Then also at Bar Marco on Fridays from 11-3pm and Sunday nights at Shadow Lounge.,ambiance,atmosphere,0,1,2,1
49,I'll spare you the 'intro' & 'outro' comps and get straight to their appetizer samplings.,food,taste,1,1,2,1
50,"It's clean, has most everything I need and it's at the right price.",ambiance,cleanliness,0,1,3,2
51,That means you have to order bottled beer from the waitress but can go downstairs and order draft beers.,service,employee,3,1,2,1
52,Free wifi with some flights.,ambiance,atmosphere,0,1,3,2
53,Hummus.,food,taste,1,1,2,1
54,Dessert was a flavorless chocolate cake.,food,taste,1,1,0,0
55,Pizza is like $1.80 plus 30 cents for toppings.,price,value,4,1,2,1
56,We ordered the Pasta Carmela and it was enough to take home.,food,quantity,1,1,3,2
57,I finally tried B52 with a friend after having it on my list forever.,general,general,5,1,3,2
58,"I would go back, but only for the happy hour deals.",price,deals,4,1,3,2
59,Small dining area can create wait times and the space tends to be loud.,ambiance,atmosphere,0,1,1,0
60,I'd be lying if I said I wasn't preoccupied taking pictures and posting them on Instagram at one point.,general,general,5,1,3,2
61,No food yet.,service,wait,3,1,1,0
62,Top it with blue cheese and you Chicken Valdez Oil spill dish.,food,taste,1,1,3,2
63,"I love the red velvet cupcakes, and the burnt almond torte is to die for.",food,taste,1,1,4,2
64,Our server was great.,service,employee,3,1,4,2
65,I want to go some night I don't have to be the driver and try a spiked shake.,general,general,5,1,2,1
66,"This is a true coffee shop, with baristas whose passion is serving up only the best, high quality coffee.",service,employee,3,1,4,2
67,And a quick note: Make sure to bring cash for tip.,price,payment,4,1,2,1
68,"The bread was extremely hard and almost difficult to chew, although I could tell it was not stale tasting.",food,taste,1,1,0,0
69,We will definitely be back.,general,general,5,1,4,2
70,"On a side note, the staff could spend less time talking hockey, politics, and general bull jive and look after the customers.",service,employee,3,1,1,0
71,I don't usually get drunk.,food,taste,1,1,2,1
72,"Instead, I got the corned beef hash.",food,taste,1,1,2,1
73,But nothing was extraordinary: the food as a whole was bland; the mussel meat was quite small and didn't really have any taste; the tuna was probably cooked too much that it was quite floppy.,food,taste,1,1,1,0
74,Service was great.,service,employee,3,1,4,2
75,"Nothing spectacular, nothing that I can't find online.",general,general,5,1,1,0
